year,gdp,inflation,unemployment
YR1960,508.702779291773,,1.7
YR1961,608.864581144951,7.78571761614081,1.4
YR1962,684.565509797705,4.19957756961351,1.3
YR1963,775.592123080162,5.51046905914609,1.3
YR1964,902.867721515126,5.32870588356649,1.1
YR1965,993.732722209078,5.13685728464004,1.2
YR1966,1143.60789652395,4.97086914705388,1.3
YR1967,1326.36103912253,5.49539007608493,1.3
YR1968,1553.27139379996,4.91886318178823,1.2
YR1969,1802.98028061972,4.43339870469985,1.1
YR1970,2100.74807036009,17.3964329633355,1.1
YR1971,2321.39092521418,5.09135193729166,1.2
YR1972,3031.43860570759,5.60442161944876,1.4
YR1973,4061.0133895326,12.7053961605499,1.3
YR1974,4448.31965623627,20.8100504239082,1.4
YR1975,4775.89953559305,7.17744085258542,1.9
YR1976,5310.43140904992,8.00788648576045,2.0
YR1977,6472.7877874079,6.74910663040014,2.0
YR1978,9012.13603523182,4.60375829027045,2.2
YR1979,9301.14831026293,2.75163103019224,2.1
YR1980,9668.74626395709,5.43798389635396,2.0
YR1981,10583.1278908402,2.85766219206909,2.2
YR1982,9779.97490636267,1.75952305503139,2.4
YR1983,10652.0147161768,0.920750583911072,2.6
YR1984,11207.4523524293,1.42960589078571,2.7
YR1985,11809.4603450715,1.26062059884478,2.6
YR1986,17451.8349394142,1.61202685996705,2.8
YR1987,21141.7183951789,-0.163785679558274,2.8
YR1988,25499.8811728107,0.609789282893544,2.5
YR1989,25265.9487590208,2.06904024637251,2.3
YR1990,25801.3950393094,2.56440413946022,2.1
YR1991,29428.4289039469,2.90457098654157,2.1
YR1992,31992.7902119161,1.6772695911224,2.2
YR1993,36345.2441262708,0.52841064239108,2.5
YR1994,39933.5150564874,0.186808629259104,2.9
YR1995,44197.6191013908,-0.523458983661911,3.2
YR1996,39150.0396308089,-0.445775393167921,3.4
YR1997,35638.2319556941,0.504460814115902,3.4
YR1998,32423.7556133801,-0.0266802470036964,4.1
YR1999,36610.1683163197,-1.24105134732172,4.7
YR2000,39169.3595701504,-1.33626008992121,4.748
YR2001,34406.1824638092,-1.08487984814833,5.02
YR2002,32820.7936433254,-1.39097861533203,5.386
YR2003,35387.0374203599,-1.60770370769328,5.251
YR2004,38298.9801712303,-1.12476639982494,4.734
YR2005,37812.8950199948,-1.19401768045218,4.446
YR2006,35991.546002862,-0.862018389191547,4.192
YR2007,35779.0245416427,-0.705243547440887,3.888
YR2008,39876.3039685725,-0.911530288396648,4.002
YR2009,41308.9968370512,-0.569564924513912,5.068
YR2010,44968.1562349739,-1.88074195006213,5.102
YR2011,48760.0789494211,-1.62208025011698,4.55
YR2012,49145.2804308193,-0.756093119402436,4.358
YR2013,40898.6478964744,-0.354375054368859,4.038
YR2014,38475.3952461838,1.68629478626745,3.589
YR2015,34960.6393843385,2.11129899321594,3.385
YR2016,39375.4731620781,0.419944376171273,3.132
YR2017,38834.0529341227,-0.0743495037964408,2.822
YR2018,39751.1330982711,-0.000237506459967562,2.467
YR2019,40415.9567649547,0.634803165679926,2.351
YR2020,40028.7341726762,0.933912186858549,2.809
YR2021,40094.5599795288,-0.203835821828704,2.808
YR2022,34065.6438962526,0.399048968762756,2.614
YR2023,33836.1756271617,4.06819848886964,2.6
YR2024,32475.8924992191,2.87380993657106,2.5
